Protein Id,Id,Gene Symbol,Description
sp|Q3UMT1|PP12C_MOUSE,139,Ppp1r12c,PP12C_MOUSE Protein phosphatase 1 regulatory subunit 12C
sp|Q80VD1|FA98B_MOUSE,140,Fam98b,FA98B_MOUSE Protein FAM98B
sp|Q3TJZ6|FA98A_MOUSE,141,Fam98a,FA98A_MOUSE Protein FAM98A
sp|O08970|TUFT1_MOUSE,142,Tuft1,TUFT1_MOUSE Tuftelin
sp|Q9WU79|PROD_MOUSE,143,Prodh,"PROD_MOUSE Proline dehydrogenase 1, mitochondrial"
sp|Q8VDN2|AT1A1_MOUSE,144,Atp1a1,AT1A1_MOUSE Sodium/potassium-transporting ATPase subunit alpha-1
sp|Q9Z1W8|AT12A_MOUSE,145,Atp12a,AT12A_MOUSE Potassium-transporting ATPase alpha chain 2
sp|Q6PIE5|AT1A2_MOUSE,146,Atp1a2,AT1A2_MOUSE Sodium/potassium-transporting ATPase subunit alpha-2
sp|Q9WV27|AT1A4_MOUSE,147,Atp1a4,AT1A4_MOUSE Sodium/potassium-transporting ATPase subunit alpha-4
sp|P27046|MA2A1_MOUSE,148,Man2a1,MA2A1_MOUSE Alpha-mannosidase 2
sp|Q8BRK9|MA2A2_MOUSE,149,Man2a2,MA2A2_MOUSE Alpha-mannosidase 2x
sp|Q9JMH9|MY18A_MOUSE,150,Myo18a,MY18A_MOUSE Unconventional myosin-XVIIIa
sp|O70591|PFD2_MOUSE,151,Pfdn2,PFD2_MOUSE Prefoldin subunit 2
sp|Q91YR7|PRP6_MOUSE,152,Prpf6,PRP6_MOUSE Pre-mRNA-processing factor 6
sp|P67778|PHB_MOUSE,153,Phb,PHB_MOUSE Prohibitin
tr|Q6XPS7|Q6XPS7_MOUSE,154,Tha1,Q6XPS7_MOUSE L-threonine aldolase
tr|G3X8U3|G3X8U3_MOUSE,155,2210016F16Rik,G3X8U3_MOUSE MCG6895
tr|E9QQ10|E9QQ10_MOUSE,156,Akap9,E9QQ10_MOUSE A-kinase anchor protein 9
tr|H9KV00|H9KV00_MOUSE,157,Son,H9KV00_MOUSE Protein SON
tr|D3Z1Y1|D3Z1Y1_MOUSE,158,Syvn1,D3Z1Y1_MOUSE E3 ubiquitin-protein ligase synoviolin
sp|Q61768|KINH_MOUSE,159,Kif5b,KINH_MOUSE Kinesin-1 heavy chain
sp|P30416|FKBP4_MOUSE,160,Fkbp4,FKBP4_MOUSE Peptidyl-prolyl cis-trans isomerase FKBP4
sp|Q91WC0|SETD3_MOUSE,161,Setd3,SETD3_MOUSE Histone-lysine N-methyltransferase setd3
sp|Q8CCP0|NEMF_MOUSE,162,Nemf,NEMF_MOUSE Nuclear export mediator factor Nemf
sp|Q68FD5|CLH1_MOUSE,163,Cltc,CLH1_MOUSE Clathrin heavy chain 1
sp|P27546|MAP4_MOUSE,164,Map4,MAP4_MOUSE Microtubule-associated protein 4
tr|F7CK47|F7CK47_MOUSE,165,Map4,F7CK47_MOUSE Microtubule-associated protein (Fragment)
sp|O55029|COPB2_MOUSE,166,Copb2,COPB2_MOUSE Coatomer subunit beta'
sp|Q8BJZ4|RT35_MOUSE,167,Mrps35,"RT35_MOUSE 28S ribosomal protein S35, mitochondrial"
sp|Q9CXI0|COQ5_MOUSE,168,Coq5,"COQ5_MOUSE 2-methoxy-6-polyprenyl-1,4-benzoquinol methylase, mitochondrial"
sp|Q8BX70|VP13C_MOUSE,169,Vps13c,VP13C_MOUSE Vacuolar protein sorting-associated protein 13C
sp|A2AI08|TPRN_MOUSE,170,Tprn,TPRN_MOUSE Taperin
sp|Q8BGT9|GLT12_MOUSE,171,Galnt12,GLT12_MOUSE Polypeptide N-acetylgalactosaminyltransferase 12
sp|O08832|GALT4_MOUSE,172,Galnt4,GALT4_MOUSE Polypeptide N-acetylgalactosaminyltransferase 4
sp|Q6PB93|GALT2_MOUSE,173,Galnt2,GALT2_MOUSE Polypeptide N-acetylgalactosaminyltransferase 2
sp|Q91WJ7|SPS2L_MOUSE,174,Spats2l,SPS2L_MOUSE SPATS2-like protein
sp|P70321|HXB13_MOUSE,175,Hoxb13,HXB13_MOUSE Homeobox protein Hox-B13
sp|Q8CFQ3|AQR_MOUSE,176,Aqr,AQR_MOUSE Intron-binding protein aquarius
sp|Q9CRD2|EMC2_MOUSE,177,Emc2,EMC2_MOUSE ER membrane protein complex subunit 2
sp|P62259|1433E_MOUSE,178,Ywhae,1433E_MOUSE 14-3-3 protein epsilon
sp|P68510|1433F_MOUSE,179,Ywhah,1433F_MOUSE 14-3-3 protein eta
sp|P68254|1433T_MOUSE,180,Ywhaq,1433T_MOUSE 14-3-3 protein theta
sp|Q9CQV8|1433B_MOUSE,181,Ywhab,1433B_MOUSE 14-3-3 protein beta/alpha
sp|P63101|1433Z_MOUSE,182,Ywhaz,1433Z_MOUSE 14-3-3 protein zeta/delta
sp|O70456|1433S_MOUSE,183,Sfn,1433S_MOUSE 14-3-3 protein sigma
sp|P61982|1433G_MOUSE,184,Ywhag,1433G_MOUSE 14-3-3 protein gamma
sp|Q6ZQ38|CAND1_MOUSE,185,Cand1,CAND1_MOUSE Cullin-associated NEDD8-dissociated protein 1
