Protein Id,Id,Gene Symbol,Description
sp|O54916-3|REPS1_MOUSE,11804,Reps1,REPS1_MOUSE Isoform 3 of RalBP1-associated Eps domain-containing protein 1
tr|B0QZW4|B0QZW4_MOUSE,11805,Supt3,B0QZW4_MOUSE Protein Supt3 (Fragment)
sp|Q6GQX2|NCK5L_MOUSE,11806,Nckap5l,NCK5L_MOUSE Nck-associated protein 5-like
sp|Q8BLS7|SWAHA_MOUSE,11807,Sowaha,SWAHA_MOUSE Ankyrin repeat domain-containing protein SOWAHA
tr|G3UYR9|G3UYR9_MOUSE,11808,Gigyf2,G3UYR9_MOUSE PERQ amino acid-rich with GYF domain-containing protein 2 (Fragment)
tr|E9Q5N9|E9Q5N9_MOUSE,11809,Zfp395,E9Q5N9_MOUSE Protein Zfp395
sp|P15806-2|TFE2_MOUSE,11810,Tcf3,TFE2_MOUSE Isoform E47 of Transcription factor E2-alpha
tr|Q3UR91|Q3UR91_MOUSE,11811,Pum2,Q3UR91_MOUSE Pumilio homolog 2
sp|Q9QYB8-2|ADDB_MOUSE,11812,Add2,ADDB_MOUSE Isoform 2 of Beta-adducin
sp|Q80TI0|GRM1B_MOUSE,11813,Gramd1b,GRM1B_MOUSE GRAM domain-containing protein 1B
sp|O08674|RBPJL_MOUSE,11814,Rbpjl,RBPJL_MOUSE Recombining binding protein suppressor of hairless-like protein
sp|Q9JIW4|DPOLM_MOUSE,11815,Polm,DPOLM_MOUSE DNA-directed DNA/RNA polymerase mu
sp|Q9DBR4-2|APBB2_MOUSE,11816,Apbb2,APBB2_MOUSE Isoform 2 of Amyloid beta A4 precursor protein-binding family B member 2
sp|Q60925|DBP_MOUSE,11817,Dbp,DBP_MOUSE D site-binding protein
sp|Q8BP86|SNPC4_MOUSE,11818,Snapc4,SNPC4_MOUSE snRNA-activating protein complex subunit 4
sp|Q69ZF8|MSL2_MOUSE,11819,Msl2,MSL2_MOUSE E3 ubiquitin-protein ligase MSL2
sp|P55012|S12A2_MOUSE,11820,Slc12a2,S12A2_MOUSE Solute carrier family 12 member 2
sp|Q7TN99|CPEB3_MOUSE,11821,Cpeb3,CPEB3_MOUSE Cytoplasmic polyadenylation element-binding protein 3
sp|Q9QZS3-2|NUMB_MOUSE,11822,Numb,NUMB_MOUSE Isoform 2 of Protein numb homolog
tr|D3YWT3|D3YWT3_MOUSE,11823,Tcf7l2,D3YWT3_MOUSE Transcription factor 7-like 2
sp|Q9NWG9|MAGH1_MOUSE,11824,Mageh1,MAGH1_MOUSE Melanoma-associated antigen H1
sp|Q9Z109|VSIG2_MOUSE,11825,Vsig2,VSIG2_MOUSE V-set and immunoglobulin domain-containing protein 2
sp|Q99J21|MCLN1_MOUSE,11826,Mcoln1,MCLN1_MOUSE Mucolipin-1
tr|F6S5B6|F6S5B6_MOUSE,11827,Ciz1,F6S5B6_MOUSE Protein Ciz1 (Fragment)
sp|P51576|P2RX1_MOUSE,11828,P2rx1,P2RX1_MOUSE P2X purinoceptor 1
sp|Q91VY6|CYTIP_MOUSE,11829,Cytip,CYTIP_MOUSE Cytohesin-interacting protein
sp|Q8CDU6|HECD2_MOUSE,11830,Hectd2,HECD2_MOUSE Probable E3 ubiquitin-protein ligase HECTD2
sp|Q80TE7|LRRC7_MOUSE,11831,Lrrc7,LRRC7_MOUSE Leucine-rich repeat-containing protein 7
sp|Q6PDK8|DTX4_MOUSE,11832,Dtx4,DTX4_MOUSE E3 ubiquitin-protein ligase DTX4
sp|Q14BA6|MEDAG_MOUSE,11833,Medag,MEDAG_MOUSE Mesenteric estrogen-dependent adipogenesis protein
sp|Q7TMJ8|P3IP1_MOUSE,11834,Pik3ip1,P3IP1_MOUSE Phosphoinositide-3-kinase-interacting protein 1
sp|Q6PB70|ANO8_MOUSE,11835,Ano8,ANO8_MOUSE Anoctamin-8
tr|D3Z6I7|D3Z6I7_MOUSE,11836,Cald1,D3Z6I7_MOUSE Protein Cald1
sp|Q9EQS9|IGDC4_MOUSE,11837,Igdcc4,IGDC4_MOUSE Immunoglobulin superfamily DCC subclass member 4
tr|B1AUW6|B1AUW6_MOUSE,11838,Irak1,B1AUW6_MOUSE Interleukin-1 receptor-associated kinase 1
sp|Q8CCH7|FOG2_MOUSE,11839,Zfpm2,FOG2_MOUSE Zinc finger protein ZFPM2
sp|Q9Z1M7|LARGE_MOUSE,11840,Large,LARGE_MOUSE Glycosyltransferase-like protein LARGE1
sp|Q8R1P5|KCNKD_MOUSE,11841,Kcnk13,KCNKD_MOUSE Potassium channel subfamily K member 13
sp|Q8JZP2|SYN3_MOUSE,11842,Syn3,SYN3_MOUSE Synapsin-3
tr|Q8C3U9|Q8C3U9_MOUSE,11843,Zbtb37,Q8C3U9_MOUSE Protein Zbtb37
sp|Q6U7R4|TIMD4_MOUSE,11844,Timd4,TIMD4_MOUSE T-cell immunoglobulin and mucin domain-containing protein 4
sp|Q8BHR2|ENOX1_MOUSE,11845,Enox1,ENOX1_MOUSE Ecto-NOX disulfide-thiol exchanger 1
sp|A2TJV2|PALM3_MOUSE,11846,Palm3,PALM3_MOUSE Paralemmin-3
sp|P35710|SOX5_MOUSE,11847,Sox5,SOX5_MOUSE Transcription factor SOX-5
sp|Q3UHD9|AGAP2_MOUSE,11848,Agap2,"AGAP2_MOUSE Arf-GAP with GTPase, ANK repeat and PH domain-containing protein 2"
sp|Q3UP23|TMM26_MOUSE,11849,Tmem26,TMM26_MOUSE Transmembrane protein 26
tr|G3X9Z3|G3X9Z3_MOUSE,11850,Tmem219,G3X9Z3_MOUSE Insulin-like growth factor-binding protein 3 receptor
sp|P41234|ABCA2_MOUSE,11851,Abca2,ABCA2_MOUSE ATP-binding cassette sub-family A member 2
sp|Q5DTI6|KAL1L_MOUSE,11852,Kansl1l,KAL1L_MOUSE KAT8 regulatory NSL complex subunit 1-like protein
sp|O09100|GATA2_MOUSE,11853,Gata2,GATA2_MOUSE Endothelial transcription factor GATA-2
sp|Q80UL9|JAML1_MOUSE,11854,Amica1,JAML1_MOUSE Junctional adhesion molecule-like
sp|Q5EBH1|RASF5_MOUSE,11855,Rassf5,RASF5_MOUSE Ras association domain-containing protein 5
tr|G5E843|G5E843_MOUSE,11856,Robo1,G5E843_MOUSE Roundabout homolog 1
sp|P98200|AT8A2_MOUSE,11857,Atp8a2,AT8A2_MOUSE Probable phospholipid-transporting ATPase IB
sp|Q6GQX6|ANKS6_MOUSE,11858,Anks6,ANKS6_MOUSE Ankyrin repeat and SAM domain-containing protein 6
sp|Q99PU5|ACBG1_MOUSE,11859,Acsbg1,ACBG1_MOUSE Long-chain-fatty-acid--CoA ligase ACSBG1
sp|O70324|MOT8_MOUSE,11860,Slc16a2,MOT8_MOUSE Monocarboxylate transporter 8
sp|Q8C996|TM163_MOUSE,11861,Tmem163,TM163_MOUSE Transmembrane protein 163
sp|Q68EF6|BEGIN_MOUSE,11862,Begain,BEGIN_MOUSE Brain-enriched guanylate kinase-associated protein
sp|Q0VGT2|GLI2_MOUSE,11863,Gli2,GLI2_MOUSE Zinc finger protein GLI2
tr|E9PV26|E9PV26_MOUSE,11864,BC068157,E9PV26_MOUSE Protein BC068157
sp|P97489|GATA5_MOUSE,11865,Gata5,GATA5_MOUSE Transcription factor GATA-5
sp|Q6NSW3|SPKAP_MOUSE,11866,Sphkap,SPKAP_MOUSE A-kinase anchor protein SPHKAP
sp|Q9JME5|AP3B2_MOUSE,11867,Ap3b2,AP3B2_MOUSE AP-3 complex subunit beta-2
sp|Q8BTY2-2|S4A7_MOUSE,11868,Slc4a7,S4A7_MOUSE Isoform 2 of Sodium bicarbonate cotransporter 3
sp|Q3UYH7|ARBK2_MOUSE,11869,Adrbk2,ARBK2_MOUSE Beta-adrenergic receptor kinase 2
sp|Q5SSM3|RHG44_MOUSE,11870,Arhgap44,RHG44_MOUSE Rho GTPase-activating protein 44
sp|Q8CDM1|ATAD2_MOUSE,11871,Atad2,ATAD2_MOUSE ATPase family AAA domain-containing protein 2
sp|P97348|RHOD_MOUSE,11872,Rhod,RHOD_MOUSE Rho-related GTP-binding protein RhoD
sp|Q80TL4|K1045_MOUSE,11873,Kiaa1045,K1045_MOUSE Protein KIAA1045
sp|Q9QYX7|PCLO_MOUSE,11874,Pclo,PCLO_MOUSE Protein piccolo
sp|Q9WVG7|OSR1_MOUSE,11875,Osr1,OSR1_MOUSE Protein odd-skipped-related 1
sp|Q8R4U0|STAB2_MOUSE,11876,Stab2,STAB2_MOUSE Stabilin-2
sp|Q5PR68|CE112_MOUSE,11877,Cep112,CE112_MOUSE Centrosomal protein of 112 kDa
sp|Q6NVG5|MREG_MOUSE,11878,Mreg,MREG_MOUSE Melanoregulin
sp|Q9D856|S39A5_MOUSE,11879,Slc39a5,S39A5_MOUSE Zinc transporter ZIP5
sp|Q62377|U2AFM_MOUSE,11880,Zrsr2,U2AFM_MOUSE U2 small nuclear ribonucleoprotein auxiliary factor 35 kDa subunit-related protein 2
sp|Q8BNN1|SPA2L_MOUSE,11881,Spata2l,SPA2L_MOUSE Spermatogenesis-associated protein 2-like protein
tr|E9Q4T4|E9Q4T4_MOUSE,11882,Ccdc71l,E9Q4T4_MOUSE Protein Ccdc71l
tr|E9Q3R6|E9Q3R6_MOUSE,11883,Zfp169,E9Q3R6_MOUSE Protein Zfp169
sp|Q921B4|NRIF2_MOUSE,11884,Nrif2,NRIF2_MOUSE Neurotrophin receptor-interacting factor 2
sp|E9Q612|PTPRO_MOUSE,11885,Ptpro,PTPRO_MOUSE Receptor-type tyrosine-protein phosphatase O
sp|Q5SP85|CC85A_MOUSE,11886,Ccdc85a,CC85A_MOUSE Coiled-coil domain-containing protein 85A
sp|A2AJA9|CI172_MOUSE,11887,Gm996,CI172_MOUSE Uncharacterized protein C9orf172 homolog
sp|O70585-2|DTNB_MOUSE,11888,Dtnb,DTNB_MOUSE Isoform 2 of Dystrobrevin beta
sp|Q921L8|GLT11_MOUSE,11889,Galnt11,GLT11_MOUSE Polypeptide N-acetylgalactosaminyltransferase 11
sp|Q8VCI7|SWAP1_MOUSE,11890,Swsap1,SWAP1_MOUSE ATPase SWSAP1
sp|O35425|BOK_MOUSE,11891,Bok,BOK_MOUSE Bcl-2-related ovarian killer protein
tr|E9Q3L4|E9Q3L4_MOUSE,11892,AI607873,E9Q3L4_MOUSE Protein AI607873
sp|O54951|SEM6B_MOUSE,11893,Sema6b,SEM6B_MOUSE Semaphorin-6B
sp|Q8C739|F110B_MOUSE,11894,Fam110b,F110B_MOUSE Protein FAM110B
sp|Q3UE17|MEX3D_MOUSE,11895,Mex3d,MEX3D_MOUSE RNA-binding protein MEX3D
sp|Q8BLG0|PHF20_MOUSE,11896,Phf20,PHF20_MOUSE PHD finger protein 20
sp|O88273|GREM2_MOUSE,11897,Grem2,GREM2_MOUSE Gremlin-2
sp|Q8BGS3|ZKSC1_MOUSE,11898,Zkscan1,ZKSC1_MOUSE Zinc finger protein with KRAB and SCAN domains 1
sp|Q9ERZ0|HEMGN_MOUSE,11899,Hemgn,HEMGN_MOUSE Hemogen
sp|A2AQW0|M3K15_MOUSE,11900,Map3k15,M3K15_MOUSE Mitogen-activated protein kinase kinase kinase 15
tr|D3Z1Y7|D3Z1Y7_MOUSE,11901,Zbtb38,D3Z1Y7_MOUSE Protein Zbtb38 (Fragment)
sp|Q9JLG8|CAN15_MOUSE,11902,Capn15,CAN15_MOUSE Calpain-15
sp|Q8BID6|ZBT46_MOUSE,11903,Zbtb46,ZBT46_MOUSE Zinc finger and BTB domain-containing protein 46
tr|E9Q2Z1|E9Q2Z1_MOUSE,11904,Cecr2,E9Q2Z1_MOUSE Protein Cecr2
tr|Q8VG01|Q8VG01_MOUSE,11905,Olfr599,Q8VG01_MOUSE Olfactory receptor
sp|P19246|NFH_MOUSE,11906,Nefh,NFH_MOUSE Neurofilament heavy polypeptide
sp|Q14AX6-2|CDK12_MOUSE,11907,Cdk12,CDK12_MOUSE Isoform 2 of Cyclin-dependent kinase 12
sp|O35927|CTND2_MOUSE,11908,Ctnnd2,CTND2_MOUSE Catenin delta-2
sp|Q6NXY1|TBC31_MOUSE,11909,Tbc1d31,TBC31_MOUSE TBC1 domain family member 31
tr|B7ZP47|B7ZP47_MOUSE,11910,Wapal,B7ZP47_MOUSE Wapal protein
sp|P30282|CCND3_MOUSE,11911,Ccnd3,CCND3_MOUSE G1/S-specific cyclin-D3
tr|S4R294|S4R294_MOUSE,11912,Prrc2c,S4R294_MOUSE Protein PRRC2C
sp|Q99N50-11|SYTL2_MOUSE,11913,Sytl2,SYTL2_MOUSE Isoform 11 of Synaptotagmin-like protein 2
sp|Q9QZM9|FBX16_MOUSE,11914,Fbxo16,FBX16_MOUSE F-box only protein 16
sp|Q5BKP2|UBP13_MOUSE,11915,Usp13,UBP13_MOUSE Ubiquitin carboxyl-terminal hydrolase 13
sp|B9EHT4|CLIP3_MOUSE,11916,Clip3,CLIP3_MOUSE CAP-Gly domain-containing linker protein 3
tr|D3Z7N2|D3Z7N2_MOUSE,11917,Eef1d,D3Z7N2_MOUSE Elongation factor 1-delta (Fragment)
sp|Q8BKC8-2|PI4KB_MOUSE,11918,Pi4kb,PI4KB_MOUSE Isoform 2 of Phosphatidylinositol 4-kinase beta
sp|Q9QYZ4|SMOK1_MOUSE,11919,Smok1,SMOK1_MOUSE Sperm motility kinase 1
sp|Q8CHD8|RFIP3_MOUSE,11920,Rab11fip3,RFIP3_MOUSE Rab11 family-interacting protein 3
sp|P0C673|IGS11_MOUSE,11921,Igsf11,IGS11_MOUSE Immunoglobulin superfamily member 11
sp|Q60774|TM45A_MOUSE,11922,Tmem45a,TM45A_MOUSE Transmembrane protein 45A
sp|P35639|DDIT3_MOUSE,11923,Ddit3,DDIT3_MOUSE DNA damage-inducible transcript 3 protein
tr|E9Q9J4|E9Q9J4_MOUSE,11924,Ppip5k2,E9Q9J4_MOUSE Inositol hexakisphosphate and diphosphoinositol-pentakisphosphate kinase 2
sp|P70178|SIX5_MOUSE,11925,Six5,SIX5_MOUSE Homeobox protein SIX5
sp|Q9R1V6|ADA22_MOUSE,11926,Adam22,ADA22_MOUSE Disintegrin and metalloproteinase domain-containing protein 22
sp|Q8K2H3|FA13B_MOUSE,11927,Fam13b,FA13B_MOUSE Protein FAM13B
tr|D3Z1D3|D3Z1D3_MOUSE,11928,3425401B19Rik,D3Z1D3_MOUSE Protein 3425401B19Rik
sp|Q9EPW2|KLF15_MOUSE,11929,Klf15,KLF15_MOUSE Krueppel-like factor 15
tr|E9QAW0|E9QAW0_MOUSE,11930,Zfp213,E9QAW0_MOUSE Protein Zfp213
tr|E9PX25|E9PX25_MOUSE,11931,Gm4302,E9PX25_MOUSE Protein Gm4302
sp|Q9QZ09|PHTF1_MOUSE,11932,Phtf1,PHTF1_MOUSE Putative homeodomain transcription factor 1
sp|Q8R1S9|S38A4_MOUSE,11933,Slc38a4,S38A4_MOUSE Sodium-coupled neutral amino acid transporter 4
tr|G3UXK0|G3UXK0_MOUSE,11934,Dtnb,G3UXK0_MOUSE Dystrobrevin
sp|P39038|CADH4_MOUSE,11935,Cdh4,CADH4_MOUSE Cadherin-4
sp|Q9D3X5|PACRL_MOUSE,11936,Pacrgl,PACRL_MOUSE PACRG-like protein
sp|Q3V1H1|CKAP2_MOUSE,11937,Ckap2,CKAP2_MOUSE Cytoskeleton-associated protein 2
sp|Q9Z1K7|APC2_MOUSE,11938,Apc2,APC2_MOUSE Adenomatous polyposis coli protein 2
sp|Q62264|THRSP_MOUSE,11939,Thrsp,THRSP_MOUSE Thyroid hormone-inducible hepatic protein
sp|Q61286-2|HTF4_MOUSE,11940,Tcf12,HTF4_MOUSE Isoform ALF1A of Transcription factor 12
tr|F7AMG0|F7AMG0_MOUSE,11941,Lsg1,F7AMG0_MOUSE Large subunit GTPase 1 homolog (Fragment)
sp|P10854|H2B1M_MOUSE,11942,Hist1h2bm,H2B1M_MOUSE Histone H2B type 1-M
tr|Q925P3|Q925P3_MOUSE,11943,Ceacam1,Q925P3_MOUSE CEA-related cell adhesion molecule 1
tr|E9PWJ7|E9PWJ7_MOUSE,11944,Abca16,E9PWJ7_MOUSE Protein Abca16
sp|Q5DU00|DCDC2_MOUSE,11945,Dcdc2,DCDC2_MOUSE Doublecortin domain-containing protein 2
sp|Q70FJ1|AKAP9_MOUSE,11946,Akap9,AKAP9_MOUSE A-kinase anchor protein 9
tr|Q9D2W5|Q9D2W5_MOUSE,11947,Gramd3,Q9D2W5_MOUSE GRAM domain-containing protein 3
sp|Q8BKX1-2|BAIP2_MOUSE,11948,Baiap2,BAIP2_MOUSE Isoform 2 of Brain-specific angiogenesis inhibitor 1-associated protein 2
tr|B0QZJ2|B0QZJ2_MOUSE,11949,Zbtb4,B0QZJ2_MOUSE Protein Zbtb4 (Fragment)
sp|Q9D5R2|WDR20_MOUSE,11950,Wdr20,WDR20_MOUSE WD repeat-containing protein 20
sp|Q9CZR4|CKLF8_MOUSE,11951,Cmtm8,CKLF8_MOUSE CKLF-like MARVEL transmembrane domain-containing protein 8
tr|E9Q6Y8|E9Q6Y8_MOUSE,11952,Usp31,E9Q6Y8_MOUSE Ubiquitin carboxyl-terminal hydrolase
sp|P22735|TGM1_HUMAN_contaminant,11953,TGM1,TGM1_HUMAN_contaminant Protein-glutamine gamma-glutamyltransferase K
sp|P35428|HES1_MOUSE,11954,Hes1,HES1_MOUSE Transcription factor HES-1
sp|O88286|WIZ_MOUSE,11955,Wiz,WIZ_MOUSE Protein Wiz
sp|Q9Z1J1|TF7L1_MOUSE,11956,Tcf7l1,TF7L1_MOUSE Transcription factor 7-like 1
tr|F7DFN7|F7DFN7_MOUSE,11957,Sp140,F7DFN7_MOUSE Protein Sp140 (Fragment)
sp|Q1W617|SHRM4_MOUSE,11958,Shroom4,SHRM4_MOUSE Protein Shroom4
sp|Q9R0N7|SYT7_MOUSE,11959,Syt7,SYT7_MOUSE Synaptotagmin-7
tr|A2AVE5|A2AVE5_MOUSE,11960,Rhbdf1,A2AVE5_MOUSE Inactive rhomboid protein 1 (Fragment)
sp|Q6P8K8|CBPA4_MOUSE,11961,Cpa4,CBPA4_MOUSE Carboxypeptidase A4
sp|Q8BP99|CA216_MOUSE,11962,,CA216_MOUSE UPF0500 protein C1orf216 homolog
tr|A2A761|A2A761_MOUSE,11963,Zfp69,A2A761_MOUSE Protein Zfp69
sp|Q9Z1D7|ZSC12_MOUSE,11964,Zscan12,ZSC12_MOUSE Zinc finger and SCAN domain-containing protein 12
sp|Q9WVB3|TLE6_MOUSE,11965,Tle6,TLE6_MOUSE Transducin-like enhancer protein 6
tr|A9C445|A9C445_MOUSE,11966,2610015P09Rik,A9C445_MOUSE Protein 2610015P09Rik
tr|B1AR69|B1AR69_MOUSE,11967,Myh13,B1AR69_MOUSE Protein Myh13
sp|Q9JL04|FMN2_MOUSE,11968,Fmn2,FMN2_MOUSE Formin-2
tr|E9PV86|E9PV86_MOUSE,11969,Mctp1,E9PV86_MOUSE Protein Mctp1
sp|Q9WVC6|SGK1_MOUSE,11970,Sgk1,SGK1_MOUSE Serine/threonine-protein kinase Sgk1
tr|E9Q7C4|E9Q7C4_MOUSE,11971,Prr14l,E9Q7C4_MOUSE Protein Prr14l
tr|F6UIK0|F6UIK0_MOUSE,11972,Dusp16,F6UIK0_MOUSE Protein Dusp16 (Fragment)
sp|P58463|FOXP2_MOUSE,11973,Foxp2,FOXP2_MOUSE Forkhead box protein P2
sp|Q9Z0H4-2|CELF2_MOUSE,11974,Celf2,CELF2_MOUSE Isoform 2 of CUGBP Elav-like family member 2
sp|Q8BGN9|CA115_MOUSE,11975,,CA115_MOUSE Uncharacterized protein C1orf115 homolog
sp|P45448|NR5A2_MOUSE,11976,Nr5a2,NR5A2_MOUSE Nuclear receptor subfamily 5 group A member 2
tr|A2RSX9|A2RSX9_MOUSE,11977,Arfip1,A2RSX9_MOUSE Arfip1 protein
sp|Q8CF90|MAFA_MOUSE,11978,Mafa,MAFA_MOUSE Transcription factor MafA
tr|A2AMW4|A2AMW4_MOUSE,11979,Magea10,A2AMW4_MOUSE Protein Magea10
sp|Q80X53|CC116_MOUSE,11980,Ccdc116,CC116_MOUSE Coiled-coil domain-containing protein 116
tr|Q8R2D8|Q8R2D8_MOUSE,11981,Vmn1r17,Q8R2D8_MOUSE MCG1026264
sp|Q3UU94|MANS4_MOUSE,11982,Mansc4,MANS4_MOUSE MANSC domain-containing protein 4
sp|O08710|THYG_MOUSE,11983,Tg,THYG_MOUSE Thyroglobulin
sp|Q5U405|TMPSD_MOUSE,11984,Tmprss13,TMPSD_MOUSE Transmembrane protease serine 13
tr|J3QMK1|J3QMK1_MOUSE,11985,Gm4975,J3QMK1_MOUSE Protein Gm4975
tr|E9Q7C0|E9Q7C0_MOUSE,11986,1700030K09Rik,E9Q7C0_MOUSE Protein 1700030K09Rik
sp|Q8CH77-4|NAV1_MOUSE,11987,Nav1,NAV1_MOUSE Isoform 4 of Neuron navigator 1
tr|E9Q3L7|E9Q3L7_MOUSE,11988,Gm20715,E9Q3L7_MOUSE Protein Gm20715
tr|F7CD45|F7CD45_MOUSE,11989,Gm8334,F7CD45_MOUSE Uncharacterized protein
sp|Q9Z262|CLD6_MOUSE,11990,Cldn6,CLD6_MOUSE Claudin-6
sp|Q8CE93|FA26D_MOUSE,11991,Fam26d,FA26D_MOUSE Protein FAM26D
tr|K3W4Q5|K3W4Q5_MOUSE,11992,Fam186a,K3W4Q5_MOUSE Protein Fam186a
tr|Q8CAU1|Q8CAU1_MOUSE,11993,A130051J06Rik,Q8CAU1_MOUSE Protein A130051J06Rik
tr|A2A5X3|A2A5X3_MOUSE,11994,Krtap9-5,A2A5X3_MOUSE Protein Krtap9-5
sp|Q920G3|SIGL5_MOUSE,11995,Siglec5,SIGL5_MOUSE Sialic acid-binding Ig-like lectin 5
tr|Q5SQK8|Q5SQK8_MOUSE,11996,4930512M02Rik,Q5SQK8_MOUSE Protein 4930512M02Rik
sp|Q05AA6|DRP2_MOUSE,11997,Drp2,DRP2_MOUSE Dystrophin-related protein 2
sp|P28184|MT3_MOUSE,11998,Mt3,MT3_MOUSE Metallothionein-3
sp|Q1H9T6-2|ZBT48_MOUSE,11999,Zbtb48,ZBT48_MOUSE Isoform 2 of Zinc finger and BTB domain-containing protein 48
sp|A2AG06|CQ104_MOUSE,12000,Gm1564,CQ104_MOUSE Uncharacterized protein C17orf104 homolog
sp|Q3URY2|GEMC1_MOUSE,12001,Gmnc,GEMC1_MOUSE Geminin coiled-coil domain-containing protein 1
tr|J3QK23|J3QK23_MOUSE,12002,Gm9825,J3QK23_MOUSE Uncharacterized protein
tr|E9Q6J8|E9Q6J8_MOUSE,12003,Dmwd,E9Q6J8_MOUSE Dystrophia myotonica WD repeat-containing protein
sp|P97863-2|NFIB_MOUSE,12004,Nfib,NFIB_MOUSE Isoform 2 of Nuclear factor 1 B-type
tr|D3Z1Z2|D3Z1Z2_MOUSE,12005,Acsbg1,D3Z1Z2_MOUSE Long-chain-fatty-acid--CoA ligase ACSBG1 (Fragment)
tr|B2RSG7|B2RSG7_MOUSE,12006,Psg18,B2RSG7_MOUSE Pregnancy specific glycoprotein 18
sp|Q6PCP7|GP156_MOUSE,12007,Gpr156,GP156_MOUSE Probable G-protein coupled receptor 156
tr|E9Q5I3|E9Q5I3_MOUSE,12008,Muc5b,E9Q5I3_MOUSE Protein Muc5b
sp|Q8CFG4|DMRTA_MOUSE,12009,Dmrta1,DMRTA_MOUSE Doublesex- and mab-3-related transcription factor A1
sp|Q5D862|FILA2_HUMAN_contaminant,12010,FLG2,FILA2_HUMAN_contaminant Filaggrin-2
tr|A2A4M0|A2A4M0_MOUSE,12011,2300003K06Rik,A2A4M0_MOUSE MCG1025736
tr|J3JS82|J3JS82_MOUSE,12012,Tmco2,J3JS82_MOUSE MCG49082
sp|Q5M956|KCTD1_MOUSE,12013,Kctd1,KCTD1_MOUSE BTB/POZ domain-containing protein KCTD1
tr|Q8VFX1|Q8VFX1_MOUSE,12014,Olfr1448,Q8VFX1_MOUSE Olfactory receptor
tr|V9GXM8|V9GXM8_MOUSE,12015,Tcf12,V9GXM8_MOUSE Transcription factor 12
sp|P16374|ZFP60_MOUSE,12016,Zfp60,ZFP60_MOUSE Zinc finger protein 60
sp|Q920A1|CLTR2_MOUSE,12017,Cysltr2,CLTR2_MOUSE Cysteinyl leukotriene receptor 2
tr|Q6IFZ8|Q6IFZ8_MOUSE,12018,Gm5414,Q6IFZ8_MOUSE MCG1050941
tr|E9QAL0|E9QAL0_MOUSE,12019,Adcyap1r1,E9QAL0_MOUSE Pituitary adenylate cyclase-activating polypeptide type I receptor (Fragment)
tr|D3Z3B3|D3Z3B3_MOUSE,12020,Ddx60,D3Z3B3_MOUSE Protein Ddx60 (Fragment)
sp|Q64459|CP3AB_MOUSE,12021,Cyp3a11,CP3AB_MOUSE Cytochrome P450 3A11
sp|Q61361|PGCB_MOUSE,12022,Bcan,PGCB_MOUSE Brevican core protein
sp|Q3UNH4|GRIN1_MOUSE,12023,Gprin1,GRIN1_MOUSE G protein-regulated inducer of neurite outgrowth 1
sp|Q9DBI0|TMPS6_MOUSE,12024,Tmprss6,TMPS6_MOUSE Transmembrane protease serine 6
tr|E9Q0V3|E9Q0V3_MOUSE,12025,Vmn1r68,E9Q0V3_MOUSE Protein Vmn1r68
sp|Q8R1B0|STAC2_MOUSE,12026,Stac2,STAC2_MOUSE SH3 and cysteine-rich domain-containing protein 2
tr|E9PYQ0|E9PYQ0_MOUSE,12027,Rsph10b,E9PYQ0_MOUSE Protein Rsph10b
sp|Q99NA2|ATOH8_MOUSE,12028,Atoh8,ATOH8_MOUSE Protein atonal homolog 8
sp|P20930|FILA_HUMAN_contaminant,12029,FLG,FILA_HUMAN_contaminant Filaggrin
sp|Q62414|NDF2_MOUSE,12030,Neurod2,NDF2_MOUSE Neurogenic differentiation factor 2
sp|Q9ERS4|PKHA3_MOUSE,12031,Plekha3,PKHA3_MOUSE Pleckstrin homology domain-containing family A member 3
sp|Q6AW46|EST5A_MOUSE,12032,Ces5a,EST5A_MOUSE Carboxylesterase 5A
sp|Q0KK59|UNC79_MOUSE,12033,Unc79,UNC79_MOUSE Protein unc-79 homolog
sp|Q86YZ3|HORN_HUMAN_contaminant,12034,HRNR,HORN_HUMAN_contaminant Hornerin
sp|Q91ZD6|EAF2_MOUSE,12035,Eaf2,EAF2_MOUSE ELL-associated factor 2
sp|Q8VFK7|O1020_MOUSE,12036,Olfr1020,O1020_MOUSE Olfactory receptor 1020
tr|E9Q1P2|E9Q1P2_MOUSE,12037,Olfr288,E9Q1P2_MOUSE Olfactory receptor
sp|P31316|GSX2_MOUSE,12038,Gsx2,GSX2_MOUSE GS homeobox 2
tr|H3BJM7|H3BJM7_MOUSE,12039,Asap1,"H3BJM7_MOUSE Arf-GAP with SH3 domain, ANK repeat and PH domain-containing protein 1 (Fragment)"
sp|Q5SSG4|GA2L2_MOUSE,12040,Gas2l2,GA2L2_MOUSE GAS2-like protein 2
sp|Q68FD9|K1549_MOUSE,12041,Kiaa1549,K1549_MOUSE UPF0606 protein KIAA1549
tr|G3X930|G3X930_MOUSE,12042,Gm9767,G3X930_MOUSE MCG147131
sp|P01808|HVM38_MOUSE,12043,,HVM38_MOUSE Ig heavy chain V region T601
sp|Q80TD3|FNIP2_MOUSE,12044,Fnip2,FNIP2_MOUSE Folliculin-interacting protein 2
sp|O70166|STMN3_MOUSE,12045,Stmn3,STMN3_MOUSE Stathmin-3
tr|Q9CXS0|Q9CXS0_MOUSE,12046,3110018I06Rik,Q9CXS0_MOUSE Protein 3110018I06Rik
tr|Q3V2J5|Q3V2J5_MOUSE,12047,1700101G07Rik,Q3V2J5_MOUSE Protein 1700101G07Rik
