Gene Symbol,control1,control2,control3,control4,control5,KRAS1,KRAS2,KRAS3,KRAS4,KRAS5
Misp,10.063,10.0148,9.48969,8.89554,8.82105,10.8786,10.6458,10.4823,10.7023,10.0071
Ppox,9.24307,9.63339,9.9309,10.6277,10.9332,9.39633,9.86207,9.95249,10.0841,10.3368
Sf3b1,10.1167,9.83475,10.565,9.33812,9.33957,10.134,10.5789,10.4857,10.196,9.41122
Col15a1,8.93884,9.61767,9.96616,10.0982,9.97762,9.55125,10.4496,11.196,9.7644,10.4403
Znf593,9.8681,11.1717,10.7217,7.78195,8.43948,11.2404,10.4206,11.0118,9.57947,9.76483
Parp14,10.9248,11.2944,12.1984,9.37054,9.3839,9.97436,8.70439,10.1221,9.59611,8.431
Ehf,11.0141,10.1796,11.0415,9.26183,9.33072,9.96691,10.3883,9.98207,9.86726,8.96767
Elf3,10.5079,10.9476,9.98016,9.32009,8.96502,9.83689,9.63105,10.7415,10.1901,9.87973
Cgnl1,6.548,7.15921,7.08193,8.69847,8.18711,12.7163,13.4755,13.0846,11.2812,11.7678
Flnb,7.93011,7.4973,7.3552,7.63507,8.22188,13.134,13.9896,12.438,11.0517,10.7472
Flna,8.53429,8.52167,8.17987,12.1526,13.9949,8.51956,9.86701,8.34585,10.2079,11.6764
Flnc,8.66681,8.97705,7.73407,14.0937,15.9961,7.07504,8.09263,6.62623,9.8966,12.8418
Macrod1,9.74361,9.53897,8.95234,10.4962,12.8177,10.3559,9.74671,9.126,8.84257,10.38
Mrpl2,9.81997,10.1008,10.1664,9.65742,9.3606,9.35071,9.80528,11.05,10.3434,10.3455
Cnot3,10.0351,9.64253,11.0739,10.0584,9.96527,9.6441,10.2913,9.66498,10.2219,9.40246
Kpnb1,10.1295,9.98234,10.3668,9.24164,9.04227,10.4389,10.3626,10.5891,10.0482,9.79861
Tjp3,9.74439,9.86636,9.67626,9.90635,9.82518,10.118,9.88163,9.95949,10.5392,10.4831
Tjp2,9.62265,9.29391,9.38678,8.91915,8.38388,11.0403,11.5546,10.9832,10.3831,10.4324
